"Mês","Ano","Preço","Peça"
11,2019,1150,"Ryzen 5 3600X"
12,2019,1400,"Ryzen 5 3600X"
04,2020,1450,"Ryzen 5 3600X"
05,2020,1700,"Ryzen 5 3600X"
12,2019,1100,"Ryzen 5 3600"
01,2020,1100,"Ryzen 5 3600"
04,2020,1200,"Ryzen 5 3600"
05,2020,1300,"Ryzen 5 3600"
11,2019,700,"RX 570 Powercolor"
12,2019,700,"RX 570 Powercolor"
02,2020,900,"RX 570 Powercolor"
03,2020,850,"RX 570 Powercolor"
05,2020,1200,"RX 570 Powercolor"
02,2020,250,"Vengeance LPX 3000MHz"
04,2020,300,"Vengeance LPX 3000MHz"
05,2020,350,"Vengeance LPX 3000MHz"
12,2019,450,"ASUS Prime B450M"
01,2020,470,"ASUS Prime B450M"
02,2020,500,"ASUS Prime B450M"
03,2020,540,"ASUS Prime B450M"
04,2020,570,"ASUS Prime B450M"
